S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
7550000000,-12.34254803421332
7560000000,-12.35928193268715
7570000000,-12.37684767417604
7580000000,-12.39525222029005
7590000000,-12.41450312808484
7600000000,-12.43460853621533
7610000000,-12.45557714497236
7620000000,-12.47741818928443
7630000000,-12.50014140360313
7640000000,-12.52375697753571
7650000000,-12.54827550093046
7660000000,-12.57370789703149
7670000000,-12.60006534218814
7680000000,-12.62735917045798
7690000000,-12.6556007614049
7700000000,-12.68480140913168
7710000000,-12.7149721706681
7720000000,-12.74612369157735
7730000000,-12.77826600669283
7740000000,-12.81140831378547
7750000000,-12.84555871803867
7760000000,-12.88072394514513
7770000000,-12.91690902108844
7780000000,-12.95411691673024
7790000000,-12.99234815567841
7800000000,-13.03160038426722
7810000000,-13.07186790294665
7820000000,-13.11314115910589
7830000000,-13.15540620204289
7840000000,-13.19864410187818
7850000000,-13.24283033526008
7860000000,-13.2879341422209
7870000000,-13.3339178598912
7880000000,-13.38073624080141
7890000000,-13.42833576525075
7900000000,-13.47665395944601
7910000000,-13.52561873332779
7920000000,-13.57514775434807
7930000000,-13.62514787567005
7940000000,-13.67551463955359
7950000000,-13.72613187855965
7960000000,-13.77687143877749
7970000000,-13.82759305033293
7980000000,-13.87814437066748
7990000000,-13.92836122549147
8000000000,-13.97806807063708
8010000000,-14.02707869503025
8020000000,-14.07519718075075
8030000000,-14.12221913044188
8040000000,-14.16793316512278
8050000000,-14.21212268712571
8060000000,-14.25456789336742
8070000000,-14.29504801380437
8080000000,-14.33334373959957
8090000000,-14.36923979492086
8100000000,-14.40252759723591
8110000000,-14.43300794263014
8120000000,-14.46049364726246
8130000000,-14.48481207274819
8140000000,-14.50580746345707
8150000000,-14.52334302708889
8160000000,-14.53730269659324
8170000000,-14.5475925216512
8180000000,-14.55414165026805
8190000000,-14.55690287592282
8200000000,-14.55585274115719
8210000000,-14.55099120471511
8220000000,-14.54234089446653
8230000000,-14.5299459820162
8240000000,-14.51387072646039
8250000000,-14.4941977431415
8260000000,-14.4710260590373
8270000000,-14.44446901867003
8280000000,-14.41465210384801
8290000000,-14.38171072754352
8300000000,-14.34578805658047
8310000000,-14.3070329111075
8320000000,-14.26559778064687
8330000000,-14.22163698805323
8340000000,-14.17530502427924
8350000000,-14.12675506860007
8360000000,-14.07613770168394
8370000000,-14.02359981235445
8380000000,-13.96928369347517
8390000000,-13.91332631807623
8400000000,-13.85585878356254
8410000000,-13.79700590953277
8420000000,-13.73688597340351
8430000000,-13.67561056734693
8440000000,-13.6132845600459
8450000000,-13.5500061472684
8460000000,-13.4858669760849
8470000000,-13.4209523287092
8480000000,-13.35534135313829
8490000000,-13.28910732922147
8500000000,-13.22231796008759
8510000000,-13.15503568027326
8520000000,-13.08731797313637
8530000000,-13.01921769140584
8540000000,-12.95078337573098
8550000000,-12.88205956720156
8560000000,-12.81308711054554
8570000000,-12.74390344562462
8580000000,-12.67454288537082
8590000000,-12.60503687897629
8600000000,-12.5354142595366
8610000000,-12.4657014757826
8620000000,-12.39592280785084
8630000000,-12.32610056724758
8640000000,-12.25625528143014
8650000000,-12.18640586349503
8660000000,-12.11656976767518
8670000000,-12.04676313130245
8680000000,-11.97700090406549
8690000000,-11.9072969653187
8700000000,-11.83766423027462
8710000000,-11.76811474587272
8720000000,-11.69865977710057
8730000000,-11.6293098845497
8740000000,-11.56007499391073
8750000000,-11.49096445811911
8760000000,-11.42198711279947
8770000000,-11.35315132562249
8780000000,-11.28446504015148
8790000000,-11.21593581471392
8800000000,-11.14757085678957
8810000000,-11.07937705337136
8820000000,-11.01136099771678
8830000000,-10.94352901288187
8840000000,-10.87588717237386
8850000000,-10.80844131825081
8860000000,-10.74119707695583
8870000000,-10.674159873147
8880000000,-10.60733494175979
8890000000,-10.54072733851458
8900000000,-10.47434194906084
8910000000,-10.40818349693289
8920000000,-10.34225655046547
8930000000,-10.27656552881137
8940000000,-10.21111470717989
8950000000,-10.14590822140523
