freq	dB(S(2,1))
5.82010000000000010E10	-5.80149292497144040E1
5.83009999999999980E10	-5.80605570783597450E1
5.84009999999999960E10	-5.81061036045519330E1
5.85009999999999940E10	-5.81515691227263520E1
5.86010000000000010E10	-5.81969539256961800E1
5.87009999999999990E10	-5.82422583046644160E1
5.88010000000000050E10	-5.82874825492358180E1
5.89009999999999940E10	-5.83326269474287700E1
5.90010000000000010E10	-5.83776917856870000E1
5.91009999999999990E10	-5.84226773488911630E1
5.92009999999999970E10	-5.84675839203703870E1
5.93010000000000040E10	-5.85124117819136470E1
5.94009999999999930E10	-5.85571612137810770E1
5.95009999999999990E10	-5.86018324947151380E1
5.96009999999999970E10	-5.86464259019517350E1
5.97010000000000040E10	-5.86909417112311700E1
5.98010000000000020E10	-5.87353801968090570E1
5.99010000000000000E10	-5.87797416314670680E1
6.00009999999999980E10	-5.88240262865236390E1
6.01009999999999960E10	-5.88682344318445680E1
